CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
07/07/2018,13:00:00,5D,2100 DRUID PARK DR,BURGLARY,O,,533,NORTHERN,Woodberry,-76.6504,39.3315,"(39.3315, -76.6504)",SHED/GARAG,,1
07/07/2018,13:00:00,6G,2500 W LOMBARD ST,LARCENY,I,,842,SOUTHWESTERN,Shipley Hill,-76.65659,39.28573,"(39.28573, -76.65659)",ROW/TOWNHO,,1
07/07/2018,12:50:00,3B,3300 ELMORA AVE,ROBBERY - STREET,O,,434,NORTHEASTERN,Four By Four,-76.57698,39.31592,"(39.31592, -76.57698)",STREET,,1
07/07/2018,12:50:00,6D,AV & N MARTIN LUTHER KING J,LARCENY FROM AUTO,O,,121,CENTRAL,Heritage Crossing,-76.62629,39.29677,"(39.29677, -76.62629)",STREET,,1
07/07/2018,12:00:00,5A,200 S CASTLE ST,BURGLARY,I,,212,SOUTHEASTERN,Upper Fells Point,-76.58809,39.28882,"(39.28882, -76.58809)",ROW/TOWNHO,,1
07/07/2018,12:00:00,7A,300 N EUTAW ST,AUTO THEFT,O,,111,CENTRAL,Downtown,-76.62119,39.29298,"(39.29298, -76.62119)",STREET,,1
07/07/2018,12:00:00,7A,1100 PARK AVE,AUTO THEFT,O,,132,CENTRAL,Bolton Hill,-76.62113,39.30482,"(39.30482, -76.62113)",STREET,,1
07/07/2018,11:45:00,5A,200 SAINT PAUL PL,BURGLARY,I,,111,CENTRAL,Downtown,-76.61402,39.29177,"(39.29177, -76.61402)",HOTEL/MOTE,,1
07/07/2018,11:45:00,5A,200 SAINT PAUL PL,BURGLARY,I,,111,CENTRAL,Downtown,-76.61402,39.29177,"(39.29177, -76.61402)",HOTEL/MOTE,,1
07/07/2018,11:30:00,6C,200 E PRATT ST,LARCENY,I,,112,CENTRAL,Inner Harbor,-76.61204,39.28659,"(39.28659, -76.61204)",SPECIALTY,,1
07/07/2018,11:18:00,6C,0 LIGHT ST,LARCENY,I,,111,CENTRAL,Downtown,-76.61372,39.28843,"(39.28843, -76.61372)",CLOTHING/S,,1
07/07/2018,11:00:00,4C,5900 DAYWALT AVE,AGG. ASSAULT,I,OTHER,441,NORTHEASTERN,Cedonia,-76.53015,39.3291,"(39.3291, -76.53015)",APT/CONDO,,1
07/07/2018,11:00:00,4C,100 N HILTON ST,AGG. ASSAULT,O,OTHER,842,SOUTHWESTERN,Saint Josephs,-76.6724,39.28707,"(39.28707, -76.6724)",STREET,,1
07/07/2018,10:30:00,4C,6300 BOSTON ST,AGG. ASSAULT,I,OTHER,243,SOUTHEASTERN,O'Donnell Heights,-76.53862,39.27814,"(39.27814, -76.53862)",ROW/TOWNHO,,1
07/07/2018,9:00:00,6C,700 E 25TH ST,LARCENY,I,,342,NORTHEASTERN,East Baltimore Midway,-76.60366,39.3183,"(39.3183, -76.60366)",CONVENIENC,,1
07/07/2018,8:20:00,5D,2400 LIBERTY HEIGHTS AVE,BURGLARY,I,,731,WESTERN,Mondawmin,-76.65399,39.31868,"(39.31868, -76.65399)",CLOTHING/S,,1
07/07/2018,7:55:00,6G,1600 LORMAN CT,LARCENY,I,,743,WESTERN,Sandtown-Winchester,-76.64363,39.30415,"(39.30415, -76.64363)",ROW/TOWNHO,,1
07/07/2018,7:45:00,5A,100 MCMECHEN ST,BURGLARY,I,,132,CENTRAL,Bolton Hill,-76.62464,39.30947,"(39.30947, -76.62464)",OTHER/RESI,,1
07/07/2018,7:17:00,4B,1800 N WOLFE ST,AGG. ASSAULT,O,KNIFE,331,EASTERN,Broadway East,-76.59166,39.31165,"(39.31165, -76.59166)",STREET,,1
07/07/2018,6:40:00,5D,2400 BARCLAY ST,BURGLARY,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO,,1
07/07/2018,6:33:00,5F,2400 BARCLAY ST,BURGLARY,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO,,1
07/07/2018,6:33:00,5F,2400 BARCLAY ST,BURGLARY,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO,,1
07/07/2018,6:00:00,7C,1700 N PATTERSON PARK AVE,AUTO THEFT,O,,331,EASTERN,Broadway East,-76.58579,39.31016,"(39.31016, -76.58579)",STREET,,1
07/07/2018,5:51:00,5F,2400 BARCLAY ST,BURGLARY,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO,,1
07/07/2018,4:00:00,6E,3100 FERNDALE AVE,LARCENY,O,,622,NORTHWESTERN,Howard Park,-76.70262,39.3271,"(39.3271, -76.70262)",STREET,,1
07/07/2018,3:00:00,3B,0 W BALTIMORE ST,ROBBERY - STREET,O,,111,CENTRAL,Downtown,-76.61941,39.28935,"(39.28935, -76.61941)",STREET,,1
07/07/2018,2:57:00,5D,5000 BELAIR RD,BURGLARY,I,,426,NORTHEASTERN,Waltherson,-76.555,39.33581,"(39.33581, -76.555)",SPECIALTY,,1
07/07/2018,2:57:00,5D,5000 BELAIR RD,BURGLARY,I,,426,NORTHEASTERN,Waltherson,-76.555,39.33581,"(39.33581, -76.555)",SPECIALTY,,1
07/07/2018,2:35:00,6D,RD & BONAPARTE AV,LARCENY FROM AUTO,O,,342,EASTERN,East Baltimore Midway,-76.59798,39.31418,"(39.31418, -76.59798)",STREET,,1
07/07/2018,2:00:00,5A,400 N KENWOOD AVE,BURGLARY,I,,221,SOUTHEASTERN,McElderry Park,-76.57782,39.29601,"(39.29601, -76.57782)",ROW/TOWNHO,,1
07/07/2018,2:00:00,6D,200 SCOTT ST,LARCENY FROM AUTO,O,,932,SOUTHERN,Washington Village/Pigtow,-76.62898,39.28494,"(39.28494, -76.62898)",STREET,,1
07/07/2018,2:00:00,6D,600 S BROADWAY,LARCENY FROM AUTO,O,,213,SOUTHEASTERN,Fells Point,-76.59358,39.28427,"(39.28427, -76.59358)",STREET,,1
07/07/2018,1:56:00,4B,3700 MANCHESTER AVE,AGG. ASSAULT,I,KNIFE,613,NORTHWESTERN,Central Park Heights,-76.6765,39.34239,"(39.34239, -76.6765)",ROW/TOWNHO,,1
07/07/2018,1:39:00,4E,6800 GOUGH ST,COMMON ASSAULT,I,,241,SOUTHEASTERN,Eastwood,-76.5311,39.29051,"(39.29051, -76.5311)",ROW/TOWNHO,,1
07/07/2018,0:32:00,9S,5000 BENTON HEIGHTS AV,SHOOTING,,FIREARM,426,NORTHEASTERN,Waltherson,-76.55576,39.3363,"(39.3363, -76.55576)",Street,,1
07/07/2018,0:15:00,5B,3900 WILKE AVE,BURGLARY,I,,426,NORTHEASTERN,Waltherson,-76.56111,39.33768,"(39.33768, -76.56111)",ROW/TOWNHO,,1
